julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-2.232761886,-4.201090194,-2.622362557,-7.223038473
1,60,-2.167812965,-2.343409185,-2.593005525,-2.992208089
1,120,-2.293634725,-2.155064749,-2.706180215,-2.400773472
1,180,-2.440344512,-2.125012176,-2.884210562,-2.213338702
1,240,-2.562934791,-2.156092125,-3.019151008,-2.188594335
1,300,-2.712073575,-2.158250428,-3.204714437,-2.129481349
1,360,-2.891665515,-2.150953335,-3.401481824,-2.080349669
1,420,-3.001040283,-2.14150148,-3.500405465,-2.042462888
1,480,-2.325096113,-2.011287244,-2.592910572,-1.969964131
1,540,0.479384247,-0.730181697,1.466834034,-1.161323176
1,600,4.000468589,1.32530425,6.448121927,0.237913751
1,660,7.011845214,3.498805026,10.28457154,1.685501367
1,720,8.807901883,6.058298906,12.31978911,5.00602221
1,780,9.601467207,6.815626459,13.24182498,5.831667948
1,840,8.510632549,6.332278714,11.48271102,5.743970759
1,900,6.224751912,4.716572202,8.594575317,4.660728026
1,960,2.955508041,2.426853255,4.232362358,2.867586863
1,1020,0.899488977,0.992184393,1.202130302,1.438890182
1,1080,0.002014935,0.28922196,-0.095122454,0.630361875
1,1140,-0.599511311,-0.236371484,-0.813328394,0.093440341
1,1200,-1.072800561,-0.655810478,-1.350358986,-0.321569458
1,1260,-1.443310444,-1.011070521,-1.746006852,-0.69290242
1,1320,-1.801088489,-1.278402562,-2.198999139,-0.942169463
1,1380,-2.00270845,-1.519565402,-2.348079246,-1.202262509
2,0,-2.308198252,-1.68956578,-2.798683889,-1.352722106
2,60,-2.424584886,-1.806190168,-2.889676317,-1.483907428
2,120,-2.580720914,-1.899451861,-3.06644696,-1.565171116
2,180,-2.745339894,-1.979594298,-3.252794868,-1.624103822
2,240,-2.923919861,-2.043162414,-3.455674716,-1.658402298
2,300,-3.123003634,-2.082506334,-3.679801487,-1.661048932
2,360,-3.378125068,-2.058579389,-3.950039041,-1.595963593
2,420,-3.585344948,-2.02453319,-4.156919865,-1.506601083
2,480,-2.759757196,-1.947296779,-3.144486427,-1.53065902
2,540,0.10913118,-0.731205332,1.034778374,-0.792053808
2,600,3.627808515,1.230896145,6.008896956,0.442019757
2,660,6.667419179,3.259946518,9.916556158,1.572180555
2,720,8.447547698,5.827461346,11.91339701,4.941206964
2,780,9.226828098,6.551598746,12.80057819,5.681649664
