julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-3.336362966,-5.479995552,-7.97813897,-7.97813897,,,,,,,
1,60,-3.464521182,-3.88135523,-4.465998599,-4.465998599,,,,,,,
1,120,-3.588775724,-3.681679696,-3.871476863,-3.871476863,,,,,,,
1,180,-3.716314065,-3.647747449,-3.684867859,-3.684867859,,,,,,,
1,240,-3.80190993,-3.661597395,-3.630465161,-3.630465161,,,,,,,
1,300,-3.905563566,-3.654359928,-3.561184552,-3.561184552,,,,,,,
1,360,-3.998830789,-3.596091286,-3.434544763,-3.434544763,,,,,,,
1,420,-4.035191088,-3.558584984,-3.358857437,-3.358857437,,,,,,,
1,480,-3.416599326,-3.482480865,-3.368369916,-3.368369916,,,,,,,
1,540,-0.693016878,-2.245778448,-2.680103937,-2.680103937,,,,,,,
1,600,2.848207067,-0.216203559,-1.397261179,-1.397261179,,,,,,,
1,660,5.876866611,2.364638113,0.944504225,0.944504225,,,,,,,
1,720,7.771206844,4.494041689,3.082958524,3.082958524,,,,,,,
1,780,8.485430407,5.539307005,4.611997594,4.611997594,,,,,,,
1,840,7.571526512,4.976617707,4.327563115,4.327563115,,,,,,,
1,900,5.162192086,3.434053718,3.474826656,3.474826656,,,,,,,
1,960,1.827626153,1.060617559,1.549003453,1.549003453,,,,,,,
1,1020,-0.346360424,-0.437720228,0.058779061,0.058779061,,,,,,,
1,1080,-1.295133842,-1.160436918,-0.766800245,-0.766800245,,,,,,,
1,1140,-1.913235457,-1.699725076,-1.316744652,-1.316744652,,,,,,,
1,1200,-2.349541392,-2.133657049,-1.751603291,-1.751603291,,,,,,,
1,1260,-2.859226125,-2.489384827,-2.11155404,-2.11155404,,,,,,,
1,1320,-3.002839351,-2.773187246,-2.391618546,-2.391618546,,,,,,,
1,1380,-3.508813048,-2.991100907,-2.590752222,-2.590752222,,,,,,,
2,0,-3.423064739,-3.159099372,-2.733935568,-2.733935568,,,,,,,
2,60,-3.72508364,-3.30130459,-2.92178908,-2.92178908,,,,,,,
2,120,-3.88011704,-3.395652551,-3.006438135,-3.006438135,,,,,,,
2,180,-4.026806666,-3.472463429,-3.060786395,-3.060786395,,,,,,,
2,240,-4.166077154,-3.529252302,-3.08560305,-3.08560305,,,,,,,
2,300,-4.30673194,-3.558924124,-3.076292742,-3.076292742,,,,,,,
2,360,-4.478980647,-3.519948983,-2.995184697,-2.995184697,,,,,,,
2,420,-4.644761173,-3.472944649,-2.887477162,-2.887477162,,,,,,,
2,480,-3.851691666,-3.397703247,-2.908137443,-2.908137443,,,,,,,
2,540,-1.077287213,-2.200282149,-2.231155531,-2.231155531,,,,,,,
2,600,2.472109839,-0.284603934,-1.14569857,-1.14569857,,,,,,,
