julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,3.629501558,2.445585508,3.475553958,0.938928135
1,60,3.422101057,3.678277806,3.098126802,3.633210462
1,120,3.228455219,3.876452186,2.884564926,4.200058242
1,180,3.045373893,3.935815301,2.669928039,4.41984264
1,240,2.888572636,3.977053119,2.494631546,4.553804076
1,300,2.755977082,4.089986552,2.361457685,4.770067128
1,360,2.589920542,4.263984911,2.184304302,5.015059338
1,420,2.623417072,4.321582045,2.285889577,5.135860499
1,480,4.421056706,4.481414753,5.02965537,5.143299381
1,540,8.649444166,6.064461445,11.12997925,5.89506419
1,600,13.51631799,8.509371727,17.87367146,7.158511239
1,660,17.7497245,11.67102966,23.40719646,9.798785418
1,720,20.040354,14.34536267,26.07819652,12.37797544
1,780,21.07542489,15.70675865,27.24776814,14.33257474
1,840,19.92561159,15.07001134,25.71523486,14.13527312
1,900,16.72793735,13.26226571,21.56246474,13.37106328
1,960,12.07478291,10.21615217,15.26889061,10.91639772
1,1020,8.321201429,8.069490101,9.709004659,9.125184748
1,1080,6.687114069,6.966056175,7.042572892,7.683142809
1,1140,5.764126007,6.397828255,5.824602779,7.264878454
1,1200,5.134401985,5.710835725,5.114343254,6.410429118
1,1260,4.495345178,5.36698875,4.257011199,6.194974353
1,1320,4.182443898,4.919964553,4.022623226,5.643240182
1,1380,3.676750424,4.694284233,3.284768374,5.493320485
2,0,3.546582787,4.418112375,3.297894491,5.16520971
2,60,3.257995882,4.306607388,2.873203824,5.063182614
2,120,3.049969078,4.217649794,2.629085754,4.998886434
2,180,2.845718395,4.155477962,2.401836453,4.974491006
2,240,2.639079347,4.128723424,2.181250161,4.997049232
2,300,2.419195704,4.155062039,1.952175162,5.082332402
2,360,2.16779323,4.273823246,1.697317476,5.260219257
2,420,2.180928067,4.309603399,1.831348858,5.407051043
2,480,4.120567999,4.540351859,4.63210858,5.42314524
2,540,8.378917596,6.038465298,10.79024079,6.046544469
2,600,13.24173115,8.352859689,17.53853364,7.067023189
2,660,17.46438072,11.53738948,23.06607799,9.785516029
2,720,19.75031528,14.13724575,25.73658441,12.22089117
2,780,20.78191766,15.52140526,26.90510382,14.23833185
2,840,19.63888882,14.84602792,25.38201409,13.94116086
2,900,16.45813722,13.08099974,21.25014215,13.26073129
2,960,11.82804796,10.01053029,14.98502887,10.72498123
2,1020,8.086463036,7.902699775,9.44381127,9.017210986
2,1080,6.455437895,6.769158404,6.777776916,7.498846065
2,1140,5.534853321,6.234821832,5.56089832,7.153163573
2,1200,4.908808166,5.52228012,4.855787581,6.236331938
2,1260,4.27032393,5.204873902,3.997095224,6.076671388
2,1320,3.961403343,4.739689966,3.76992472,5.481537821
2,1380,3.454554722,4.531521565,3.027989735,5.367445021
3,0,3.328236022,4.245493256,3.048848464,5.015709255
3,60,3.037831335,4.140303903,2.620700251,4.924904439
3,120,2.828495715,4.054822462,2.374759896,4.865332502
3,180,2.622406314,3.9964114,2.1451431,4.845716264
3,240,2.413150888,3.974325102,1.921419079,4.874075316
3,300,2.189380652,4.007112127,1.68800285,4.967240821
3,360,1.932059494,4.134803076,1.427156364,5.155476586
3,420,1.953225587,4.174744015,1.574412675,5.309587024
3,480,3.903079622,4.399160788,4.386792456,5.322395946
3,540,8.156056398,5.886277532,10.54194122,5.937559726
3,600,13.00318439,8.179719425,17.27444639,6.934014345
3,660,17.20911679,11.3430258,22.78535135,9.629504201
3,720,19.48476198,13.9233757,25.44573991,12.0420077
3,780,20.51110042,15.29732014,26.60881387,14.0428616
3,840,19.37394882,14.62513808,25.09272861,13.74656055
3,900,16.20923352,12.86681948,20.97954411,13.06505586
3,960,11.60117074,9.811099814,14.7405003,10.54099373
3,1020,7.870442455,7.706993624,9.215955665,8.836175817
3,1080,6.241577233,6.578150787,6.547924449,7.322202341
3,1140,5.322994472,6.047577851,5.330912878,6.980605875
3,1200,4.700647312,5.337548976,4.630687289,6.065187462
3,1260,4.062430385,5.023729669,3.769622892,5.910530492
3,1320,3.757824673,4.559693315,3.550084619,5.315026386
3,1380,3.249497208,4.354841097,2.80300357,5.206064018
4,0,3.127545901,4.069461632,2.832361939,4.853717609
4,60,2.835640157,3.966727008,2.400701688,4.766500536
4,120,2.625726852,3.883602203,2.153630785,4.710074259
4,180,2.418769347,3.827915522,1.922630601,4.694041751
4,240,2.20818715,3.8091747,1.697092487,4.726728579
4,300,1.982281921,3.846371272,1.461075587,4.825419395
4,360,1.72164525,3.979800205,1.196604707,5.020564993
4,420,1.753136316,4.022129797,1.360637761,5.179379052
4,480,3.709758973,4.244207792,4.18250922,5.19134741
4,540,7.954116127,5.723575756,10.33034662,5.801648043
4,600,12.78342837,8.001175658,17.04375389,6.782649872
4,660,16.97111004,11.14688359,22.53539562,9.46170614
4,720,19.23451383,13.71002854,25.18244592,11.85521645
4,780,20.25505677,15.07520488,26.33868726,13.84284899
4,840,19.12343764,14.40573487,24.82871896,13.54645438
4,900,15.97423879,12.65489849,20.73313002,12.86608675
4,960,11.38742422,9.613041954,14.51864733,10.3521797
4,1020,7.66668423,7.512860389,9.009632542,8.65189709
4,1080,6.039181375,6.387962249,6.337633438,7.140702657
