julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,2.31932537,1.457922575,1.679542425,-0.290329699
1,60,2.250788057,2.816853984,1.568844914,2.824705641
1,120,2.051461365,2.906568903,1.352964377,3.186010209
1,180,1.836871904,2.916389793,1.088108485,3.311652446
1,240,1.640191193,2.915227818,0.86210055,3.365031623
1,300,1.298588953,3.049196898,0.483437348,3.563737776
1,360,0.817856576,3.373610059,0.033213857,3.932422477
1,420,1.257715195,3.154298994,0.44038073,3.971906517
1,480,4.330630455,3.769065563,5.000688769,3.850595081
1,540,9.270812702,5.888334709,12.61290327,5.203456236
1,600,14.17973884,8.886727476,19.82481612,7.598458977
1,660,17.89522632,12.0670255,24.66444137,10.59310179
1,720,19.77262064,14.55033606,26.71385696,13.16742101
1,780,20.53584763,15.71289249,27.36247798,14.85188954
1,840,19.44891218,15.03431999,25.77631206,14.43217539
1,900,16.32203521,13.10381223,21.2854497,13.09558163
1,960,11.78536713,10.24428985,14.69522699,10.81266684
1,1020,7.112448191,7.125531424,8.081350829,8.113970767
1,1080,5.491935156,5.82330294,5.439108439,6.256406651
1,1140,4.598634054,5.418403535,4.314582679,6.313877898
1,1200,3.922147348,4.667312486,3.51724789,5.31341979
1,1260,3.381488571,4.165640388,2.888114973,4.755272031
1,1320,2.94556267,3.786458038,2.383741491,4.360527674
1,1380,2.610432652,3.489042234,2.018565965,4.0564286
2,0,2.259175367,3.245742325,1.541990265,3.798090153
2,60,2.072650328,3.11629469,1.347703139,3.663033307
2,120,1.852740298,3.015783947,1.091237541,3.584203597
2,180,1.616058949,2.940106003,0.817501171,3.544357503
2,240,1.350401164,2.900695259,0.51248364,3.555094814
2,300,0.917195354,3.01996173,0.039935619,3.740141827
2,360,0.389345282,3.356195818,-0.41953048,4.112032243
2,420,1.017676873,3.055028002,0.187192171,3.982160772
2,480,4.06078088,3.665878082,4.680211632,3.871248398
2,540,9.01306518,5.742749384,12.30841742,5.143260931
2,600,13.93183121,8.724370837,19.53496629,7.504181506
2,660,17.65464649,11.88276008,24.38618894,10.44868458
2,720,19.53890098,14.38291386,26.44646698,13.07024303
2,780,20.30403872,15.47516344,27.09950594,14.5719112
2,840,19.21796403,14.90998966,25.51644435,14.444838
2,900,16.09196292,12.85754875,21.02959662,12.79746091
2,960,11.55542389,10.03674097,14.4425959,10.61596632
2,1020,6.877210494,6.915718095,7.819811509,7.915833227
2,1080,5.250858009,5.779094507,5.171092249,6.474117934
2,1140,4.356492014,5.017584133,4.044255973,5.656759986
