julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-5.262593575,-5.846038648,-6.447862655,-7.718413226
1,60,-5.396351905,-4.321138241,-6.525261915,-4.24415154
1,120,-5.677387724,-4.18183987,-6.844259946,-3.762821255
1,180,-5.967213917,-4.171467338,-7.196309258,-3.617815953
1,240,-6.263536831,-4.177568575,-7.555954024,-3.558911373
1,300,-6.575837109,-4.115998277,-7.916215601,-3.424203406
1,360,-6.983742655,-3.932831488,-8.362684704,-3.152820613
1,420,-6.903111484,-3.853073479,-8.158967388,-2.982800554
1,480,-3.915422065,-3.635073849,-3.51507284,-2.979980132
1,540,1.883729511,-1.865095024,5.322599942,-2.385946354
1,600,7.886973937,1.560044962,13.92100655,0.156332092
1,660,12.80578767,5.388818339,20.34997415,3.453957365
1,720,15.26114972,8.729147573,22.97259063,6.959525079
1,780,16.41562618,10.20422552,24.18272159,8.955603796
1,840,14.90909939,9.429498601,22.00219139,8.687652754
1,900,10.94157074,7.075357054,16.62694031,7.318313553
1,960,5.185884263,3.312721235,8.553861881,4.086390441
1,1020,0.512658692,0.617122759,1.417208783,1.663922116
1,1080,-1.380610033,-0.659027988,-1.682306277,0.004602754
1,1140,-2.451932379,-1.324952551,-3.08382301,-0.476894313
1,1200,-3.241804425,-2.157830881,-4.024910439,-1.544922458
1,1260,-3.833341913,-2.526392945,-4.666967832,-1.710999505
1,1320,-4.46722717,-3.11985579,-5.524820219,-2.513828035
1,1380,-4.736359599,-3.31170577,-5.665094123,-2.521267738
2,0,-5.328370993,-3.740029393,-6.591104136,-3.132220996
2,60,-5.499021588,-3.837025723,-6.69260294,-3.166626182
2,120,-5.782810965,-3.953108894,-7.022819196,-3.252926077
2,180,-6.093434513,-4.047790892,-7.385344019,-3.308939866
2,240,-6.445340379,-4.10893477,-7.796264573,-3.31947446
2,300,-6.856562408,-4.113958803,-8.266830318,-3.258679459
2,360,-7.368953349,-4.013982109,-8.813133787,-3.084213145
2,420,-7.311397889,-4.008255925,-8.570715739,-2.962754492
2,480,-4.13833896,-3.64930148,-3.831299725,-2.897743398
2,540,1.710072991,-1.939992767,5.096025834,-2.409945655
2,600,7.722632462,1.469449865,13.71741574,0.11294437
2,660,12.64199428,5.266732137,20.15561121,3.354854827
2,720,15.0978342,8.602850179,22.78544054,6.864023128
2,780,16.25119161,10.05772671,23.99687984,8.814588451
2,840,14.74868228,9.29805351,21.82248939,8.579088529
2,900,10.78968822,6.935194947,16.45783694,7.177942802
2,960,5.044240399,3.190778037,8.396868604,3.976624988
2,1020,0.369577175,0.488683015,1.259655949,1.540933612
2,1080,-1.52856502,-0.787255493,-1.853989465,-0.121054316
2,1140,-2.600435145,-1.444564307,-3.258861987,-0.585243719
2,1200,-3.389330234,-2.28804991,-4.199288804,-1.679836322
2,1260,-3.979920608,-2.641232803,-4.840377356,-1.812779535
2,1320,-4.613168882,-3.247907605,-5.697621641,-2.646804589
2,1380,-4.881856971,-3.427548855,-5.837469644,-2.628363452
3,0,-5.473543399,-3.862085835,-6.76303345,-3.25398224
3,60,-5.645218625,-3.956635015,-6.865954323,-3.283785537
3,120,-5.930618589,-4.071879589,-7.198477926,-3.369042025
3,180,-6.243466622,-4.165815947,-7.56407019,-3.424271758
3,240,-6.598445832,-4.226156924,-7.978995023,-3.433998225
3,300,-7.014070268,-4.230117156,-8.454885042,-3.372063579
3,360,-7.532633974,-4.129204407,-9.008041538,-3.196542942
3,420,-7.459318662,-4.12425875,-8.74024989,-3.075605628
3,480,-4.270549369,-3.762775528,-3.979030626,-3.009540089
3,540,1.582198638,-2.055349948,4.957882834,-2.52292461
3,600,7.591506594,1.348143554,13.5794811,-0.003954032
3,660,12.50541515,5.136633039,20.01592868,3.230115534
3,720,14.95627627,8.464766252,22.64325322,6.73123683
3,780,16.10695347,9.915565057,23.85217903,8.675821964
3,840,14.6077673,9.158577635,21.68192286,8.442747791
3,900,10.65672019,6.800817878,16.32616474,7.043384287
3,960,4.92083418,3.065791758,8.275506273,3.851732984
3,1020,0.243752213,0.362197172,1.136188051,1.415890084
3,1080,-1.660400561,-0.912379645,-1.994496396,-0.245964328
3,1140,-2.733251488,-1.567017384,-3.403974152,-0.706525065
3,1200,-3.521282731,-2.409991431,-4.344256462,-1.802031714
3,1260,-4.110911689,-2.760711062,-4.984615156,-1.931133989
3,1320,-4.74361152,-3.367308202,-5.841736203,-2.766397459
3,1380,-5.011623331,-3.545079744,-5.980944731,-2.744997627
4,0,-5.603101062,-3.979389484,-6.906634856,-3.37106933
4,60,-5.775186958,-4.073123437,-7.010279073,-3.39973243
4,120,-6.061444427,-4.18771636,-7.34425219,-3.484230627
4,180,-6.375530971,-4.280982919,-7.711763477,-3.53870466
4,240,-6.732270296,-4.340586853,-8.129172363,-3.547605801
4,300,-7.150463145,-4.343662998,-8.608318675,-3.484688898
4,360,-7.672248718,-4.242212364,-9.165273504,-3.308506007
4,420,-7.579975352,-4.23824517,-8.866995473,-3.188306773
4,480,-4.379189859,-3.87320424,-4.086619668,-3.120358937
4,540,1.474090762,-2.166535205,4.854415961,-2.633383846
4,600,7.477658418,1.231700106,13.47222255,-0.117292809
4,660,12.25167935,5.011847922,19.6017014,3.109723017
4,720,14.79258003,8.332227102,22.4380073,6.603207443
4,780,15.85597406,9.779103103,23.4370492,8.542191832
4,840,14.44132445,9.024774884,21.47067086,8.311491779
4,900,10.52608488,6.672179478,16.19160661,6.914118287
4,960,4.804058712,2.946467264,8.161722816,3.732099721
4,1020,0.125688703,0.240777849,1.02401096,1.295774518
4,1080,-1.78461686,-1.032580238,-2.124060465,-0.366230224
4,1140,-2.858308431,-1.684529944,-3.537848682,-0.823085012
4,1200,-3.645178726,-2.527030599,-4.477354063,-1.919569097
4,1260,-4.233484067,-2.875286191,-5.116229489,-2.044811221
4,1320,-4.8656414,-3.481813063,-5.973325367,-2.881319353
4,1380,-5.132405291,-3.657703979,-6.11072383,-2.856928989
5,0,-5.723980444,-4.091820914,-7.037321956,-3.483524726
5,60,-5.895895053,-4.18472829,-7.140654219,-3.51101435
5,120,-6.18257856,-4.298680016,-7.475439605,-3.594766969
5,180,-6.497396065,-4.39129192,-7.84416423,-3.648505771
5,240,-6.855282875,-4.450178908,-8.263264823,-3.656609575
5,300,-7.275250806,-4.452393866,-8.744715099,-3.592741953
5,360,-7.798900834,-4.350499277,-9.303973315,-3.415999856
5,420,-7.684404027,-4.347685035,-8.96983971,-3.296740623
5,480,-4.472874405,-3.978639962,-4.170729088,-3.226710797
5,540,1.379379812,-2.272234577,4.772265253,-2.738895047
5,600,7.46909245,1.121116886,13.58681708,-0.225225414
5,660,12.17712338,4.893131408,19.58761538,2.995021043
5,720,14.68176625,8.205870668,22.35316267,6.481052683
5,780,15.73844992,9.648859742,23.33981124,8.414517309
5,840,14.39734627,8.897188024,21.54784825,8.186202243
5,900,10.44032299,6.549727803,16.15617243,6.790815552
5,960,4.708693312,2.833243244,8.090390022,3.618395874
5,1020,0.023879271,0.124834489,0.942808361,1.181185722
5,1080,-1.895544658,-1.147492098,-2.229792398,-0.48135659
5,1140,-2.971482167,-1.796697701,-3.651300637,-0.934336047
5,1200,-3.757893914,-2.638854242,-4.591778156,-2.032070607
5,1260,-4.345320831,-2.984570863,-5.230315196,-2.153264039
5,1320,-4.97726761,-3.591135015,-6.088266369,-2.991248843
5,1380,-5.242977553,-3.765071015,-6.224419969,-2.963694964
6,0,-5.83480717,-4.19908953,-7.152410602,-3.591018184
6,60,-6.006472057,-4.291150274,-7.255525843,-3.617283483
6,120,-6.293384987,-4.404473978,-7.591007445,-3.700310598
6,180,-6.608631851,-4.496450839,-7.960675813,-3.75334545
6,240,-6.967227155,-4.554647423,-8.38102222,-3.760694261
6,300,-7.388329838,-4.556033766,-8.864104726,-3.695927124
6,360,-7.912746093,-4.453794964,-9.424590666,-3.518741088
6,420,-7.772677236,-4.452301908,-9.049053026,-3.400616392
6,480,-4.551833515,-4.078808908,-4.232016069,-3.32830206
6,540,1.297776867,-2.372194221,4.710575737,-2.839209911
6,600,7.379686841,1.016664495,13.51800258,-0.327486324
6,660,12.0794202,4.780764332,19.51242521,2.886274209
6,720,14.57494788,8.086000413,22.26846588,6.365070412
6,780,15.62822961,9.525135405,23.25081161,8.293082125
6,840,14.28975985,8.776118248,21.46098825,8.067174023
6,900,10.34016832,6.43374084,16.07679751,6.673737474
6,960,4.61697095,2.726383458,8.018770817,3.510875091
6,1020,-0.071818923,0.01462135,0.868260302,1.072356042
6,1080,-2.00054752,-1.256859461,-2.32926552,-0.591103785
6,1140,-3.078702104,-1.903271108,-3.758395973,-1.040048595
6,1200,-3.864447332,-2.745220833,-4.699352749,-2.139322306
6,1260,-4.450739747,-3.08831242,-5.336970126,-2.256249826
6,1320,-5.082521937,-3.69503869,-6.195892911,-3.095980298
6,1380,-5.346732991,-3.866932676,-6.329835174,-3.06505888
7,0,-5.939142258,-4.300962387,-7.259962211,-3.693345018
7,60,-6.110172598,-4.392153328,-7.362090086,-3.718326185
7,120,-6.397120222,-4.504864156,-7.697940335,-3.800649796
7,180,-6.712585491,-4.596229129,-8.068225147,-3.853016712
7,240,-7.07165028,-4.653765798,-8.489477961,-3.859657694
7,300,-7.49358715,-4.654360763,-8.973798321,-3.794047419
7,360,-8.018216093,-4.55188472,-9.534875503,-3.61654103
7,420,-7.848835604,-4.551883618,-9.111657033,-3.49975289
7,480,-4.619223503,-4.173495199,-4.276727728,-3.42494996
7,540,1.226949927,-2.466179048,4.664289688,-2.934118762
7,600,7.300751411,0.918598725,13.46413987,-0.423842189
7,660,11.99188631,4.675027202,19.45167178,2.783746449
7,720,14.47779531,7.972914048,22.19739264,6.255544438
7,780,15.52759005,9.408237398,23.17520022,8.17818688
7,840,14.19168916,8.661862651,21.38732347,7.95469204
7,900,10.24935081,6.324507457,16.0102125,6.563171695
7,960,4.534225833,2.626149616,7.95921627,3.409786211
7,1020,-0.158746991,-0.089589268,0.806276734,0.96956045
7,1080,-2.098028891,-1.360423969,-2.419108958,-0.695226119
7,1140,-3.178898721,-2.003980708,-3.857012728,-1.139947027
7,1200,-3.964065406,-2.845884176,-4.798650676,-2.241099602
