julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-5.341767203,-6.108313856,-6.223039043,-7.906615215
1,60,-5.556796544,-4.682841449,-6.554620108,-4.684222272
1,120,-5.81332043,-4.588212682,-6.851289135,-4.304166136
1,180,-6.078707875,-4.601855523,-7.180259951,-4.209241831
1,240,-6.330612764,-4.636458593,-7.479460054,-4.200038006
1,300,-6.634112318,-4.610611048,-7.853111782,-4.115655951
1,360,-7.026644233,-4.469502549,-8.285248516,-3.895889485
1,420,-7.320846839,-4.383151276,-8.652763172,-3.748383737
1,480,-5.099986724,-4.318697161,-5.313090296,-3.825442669
1,540,-0.266812517,-2.763195052,1.896222002,-3.250256793
1,600,5.045186288,0.350705983,9.396012608,-0.872671519
1,660,9.537345546,3.875674936,15.2150117,2.222580431
1,720,11.97654268,6.944258424,17.92491299,5.465900174
1,780,12.95591288,8.294504602,18.83275758,7.29196565
1,840,11.52200317,7.507259383,16.72055949,6.86948257
1,900,7.905411894,5.357103072,11.84530425,5.650079033
1,960,2.830037644,1.809045548,4.870192624,2.411701969
1,1020,-0.729831985,-0.350999527,-0.47287379,0.430329406
1,1080,-2.135272395,-1.366810268,-2.576257043,-0.762866465
1,1140,-3.024630779,-2.113684574,-3.66976975,-1.543019266
1,1200,-3.71433624,-2.686907144,-4.470176896,-2.098045899
1,1260,-4.191298763,-3.217957964,-4.920524271,-2.699240393
1,1320,-4.872109057,-3.554504701,-5.942826908,-2.972228015
1,1380,-4.921112227,-3.933212234,-5.631495195,-3.432451953
2,0,-5.417045122,-4.127896189,-6.388372893,-3.55699868
2,60,-5.702782553,-4.305051564,-6.76874592,-3.777248018
2,120,-5.967968233,-4.429046373,-7.087449004,-3.887538859
2,180,-6.251364896,-4.530181022,-7.423142471,-3.959969455
2,240,-6.562014448,-4.602824325,-7.784434568,-3.990885956
2,300,-6.91844256,-4.634414697,-8.18955582,-3.969005655
2,360,-7.415999451,-4.56536074,-8.729243979,-3.837330772
2,420,-7.720355948,-4.521326316,-9.04415204,-3.701406636
2,480,-5.384151881,-4.329543807,-5.704669335,-3.696740808
2,540,-0.494070212,-2.863418461,1.608066708,-3.275377503
2,600,4.830765674,0.229888066,9.141535604,-0.919095488
2,660,9.32300241,3.704582855,14.974385,2.086279263
2,720,11.76008157,6.770406287,17.69161688,5.344035422
2,780,12.73719806,8.090761522,18.6001863,7.101992453
2,840,11.3076883,7.317519181,16.49332704,6.707211398
2,900,7.700786255,5.186832815,11.62674787,5.517924892
2,960,2.635770876,1.603051254,4.658286737,2.172716301
2,1020,-0.933061079,-0.452951382,-0.704439139,0.439699154
2,1080,-2.34044408,-1.663560367,-2.816271497,-1.219711961
2,1140,-3.228035459,-2.297260098,-3.908871015,-1.736803188
2,1200,-3.915814692,-2.871434296,-4.707328623,-2.297129772
2,1260,-4.393353311,-3.368549319,-5.160949916,-2.823242742
2,1320,-5.067410047,-3.72853051,-6.169112228,-3.151845979
2,1380,-5.124608668,-4.073630628,-5.877342901,-3.538878709
3,0,-5.615735591,-4.298774022,-6.623872,-3.732613371
3,60,-5.902029658,-4.46066843,-7.004425838,-3.920834294
3,120,-6.169187578,-4.581391257,-7.325961444,-4.025814587
3,180,-6.455337708,-4.679938709,-7.665471314,-4.094741402
3,240,-6.769926574,-4.749938711,-8.032011336,-4.122468406
3,300,-7.132137436,-4.777640032,-8.444402053,-4.095675216
3,360,-7.638808339,-4.702690775,-8.994204714,-3.956835037
3,420,-7.94272545,-4.655784022,-9.308438788,-3.816407701
3,480,-5.623716572,-4.466541346,-6.017387351,-3.814259933
3,540,-0.693113908,-3.010671116,1.370416497,-3.405281273
3,600,4.649804489,0.068295615,8.95101285,-1.064181306
3,660,9.13843869,3.526515118,14.79143576,1.92305988
3,720,11.56833962,6.578656207,17.506899,5.165042316
3,780,12.54197991,7.892238889,18.4130269,6.912009185
3,840,11.11627738,7.124932239,16.30984313,6.525353679
3,900,7.518382508,5.000951902,11.45032459,5.335842206
3,960,2.436960904,1.433641536,4.424389968,2.010670199
3,1020,-1.124851179,-0.62209904,-0.918285426,0.279277108
3,1080,-2.528375483,-1.834059475,-3.02490707,-1.387951879
3,1140,-3.413479471,-2.329816747,-4.115104276,-1.587357032
3,1200,-4.099109041,-3.013477437,-4.911335181,-2.407012861
3,1260,-4.577693617,-3.509156103,-5.369563755,-2.933125683
3,1320,-5.243366611,-3.881239193,-6.360208855,-3.291829542
3,1380,-5.310919935,-4.22876504,-6.093120851,-3.686272387
4,0,-5.795907635,-4.453427069,-6.826688453,-3.880589413
4,60,-6.081947509,-4.61381581,-7.206342752,-4.066753485
4,120,-6.350202787,-4.733043559,-7.529649551,-4.169858357
4,180,-6.637987936,-4.829860253,-7.871618994,-4.236601145
4,240,-6.955050863,-4.897773736,-8.241658957,-4.261700766
4,300,-7.321034518,-4.922786854,-8.65899798,-4.231569418
4,360,-7.833055137,-4.844399677,-9.214915031,-4.088611229
4,420,-8.133995116,-4.796226871,-9.525499452,-3.945709429
4,480,-5.790933905,-4.606022152,-6.198906186,-3.942980531
4,540,-0.847621818,-3.15676939,1.216327926,-3.541172521
4,600,4.493118881,-0.089653616,8.803714483,-1.211392399
4,660,8.97401511,3.35388803,14.64333519,1.760709288
4,720,11.39404596,6.393613889,17.35193322,4.989013437
4,780,12.36359989,7.700995334,18.2539632,6.726278124
4,840,10.9413568,6.939600624,16.15355785,6.34788507
4,900,7.35198885,4.821819187,11.30014776,5.15741421
4,960,2.279304027,1.271482165,4.277692055,1.854190455
4,1020,-1.295083315,-0.786492592,-1.091069142,0.119882292
4,1080,-2.701408431,-1.997306922,-3.208437124,-1.549113319
4,1140,-3.585041786,-2.48382759,-4.29872088,-1.731105798
4,1200,-4.268861793,-3.169467056,-5.09362642,-2.558600059
4,1260,-4.747786982,-3.66310299,-5.554975397,-3.082724606
4,1320,-5.407318301,-4.034000194,-6.533338773,-3.440986859
4,1380,-5.481856218,-4.378697916,-6.28352493,-3.830925933
5,0,-5.962342453,-4.603244825,-7.00796867,-4.026553156
5,60,-6.248088189,-4.761875452,-7.386995035,-4.209984434
5,120,-6.517018833,-4.879750775,-7.711583583,-4.311377867
5,180,-6.805868468,-4.975075671,-8.055320101,-4.376263864
5,240,-7.12462009,-5.041249245,-8.427893472,-4.399219788
5,300,-7.493278902,-5.064058359,-8.848861986,-4.366402579
5,360,-8.008639652,-4.98315524,-9.408754112,-4.22043681
5,420,-8.304982385,-4.934646096,-9.713722559,-4.076289658
5,480,-5.939175206,-4.742140516,-6.351311239,-4.07223166
5,540,-0.984734178,-3.297524412,1.089313401,-3.67496236
5,600,4.352543522,-0.240897622,8.681165687,-1.354661584
5,660,8.824940309,3.189096975,14.51840081,1.604011331
5,720,11.23408105,6.217092043,17.21819074,4.819603908
5,780,12.19939585,7.518668466,18.11559055,6.548013899
5,840,10.7804563,6.763016925,16.01761311,6.177651419
5,900,7.199263294,4.651094338,11.1697533,4.985896605
5,960,2.134701344,1.117709627,4.149817698,1.705272588
5,1020,-1.453707199,-0.944284198,-1.247246935,-0.034807713
5,1080,-2.863310524,-2.152533033,-3.376480355,-1.70209738
5,1140,-3.745618413,-2.632305958,-4.467195399,-1.872402597
5,1200,-4.427673786,-3.318682579,-5.260905048,-2.704752419
5,1260,-4.906792643,-3.810225966,-5.725076245,-3.226706714
5,1320,-5.560566459,-4.179987655,-6.692103005,-3.584583006
5,1380,-5.641428724,-4.521919672,-6.458132979,-3.970111782
6,0,-6.37130734,-4.746381407,-7.730315716,-4.167066843
6,60,-6.422300831,-4.903359131,-7.59368402,-4.347928041
6,120,-6.673668003,-5.020007032,-7.880716024,-4.447795425
6,180,-6.954795828,-5.114001343,-8.20871871,-4.51106084
6,240,-7.285670179,-5.178648657,-8.604824254,-4.53217908
6,300,-7.65366185,-5.1995503,-9.023297215,-4.497086481
6,360,-8.166510327,-5.116712075,-9.577736643,-4.348821664
6,420,-8.466372711,-5.068490732,-9.891308528,-4.204237206
6,480,-6.073275547,-4.872728503,-6.484273385,-4.198346525
6,540,-1.107125621,-3.431355509,0.983318585,-3.803940426
6,600,4.226273577,-0.384098851,8.578807994,-1.491695331
6,660,8.68981606,3.033238493,14.41274207,1.454768149
6,720,11.08751327,6.050096424,17.10256547,4.658469694
6,780,12.0485456,7.34615034,17.99506552,6.378584535
6,840,10.6327876,6.596071772,15.89928353,6.016020602
6,900,7.059444757,4.489739786,11.05652577,4.822848605
6,960,2.002427698,0.97297573,4.03828163,1.564744677
6,1020,-1.601375405,-1.094295714,-1.389113643,-0.182713916
6,1080,-3.014739665,-2.29938799,-3.531315092,-1.846794513
6,1140,-3.8958823,-2.773776036,-4.62280928,-2.008497997
6,1200,-4.576229435,-3.460226601,-5.415445873,-2.84407994
6,1260,-5.055387065,-3.949684859,-5.88208917,-3.363820552
6,1320,-5.703857696,-4.318338035,-6.838847334,-3.721320895
6,1380,-5.790313665,-4.657602664,-6.61909768,-4.102620858
7,0,-6.511462957,-4.881965359,-7.872874491,-4.300833272
7,60,-6.566377552,-5.037389349,-7.745354416,-4.479293053
7,120,-6.81831186,-5.152903955,-8.033801538,-4.577776561
7,180,-7.100147331,-5.245685246,-8.36324668,-4.63959511
7,240,-7.431679647,-5.308958613,-8.760341714,-4.659094914
7,300,-7.801393265,-5.328160645,-9.181299479,-4.62201649
7,360,-8.315569482,-5.243806027,-9.737508389,-4.47196047
7,420,-8.607967018,-5.19635862,-10.04152266,-4.327558729
7,480,-6.192245702,-4.996559776,-6.596372327,-4.319452169
7,540,-1.215586693,-3.557269281,0.896175193,-3.926608131
7,600,4.113655025,-0.518364008,8.494603066,-1.621172809
7,660,8.568189185,2.887117771,14.32464028,1.314112556
7,720,10.95412685,5.893393466,17.00372702,4.506673708
7,780,11.91089016,7.184167876,17.89118989,6.218948766
7,840,10.49820992,6.439479912,15.79743559,5.863928513
7,900,6.932408485,4.338502508,10.95939937,4.669304856
7,960,1.882385012,0.837872223,3.9421106,1.433289612
7,1020,-1.738109232,-1.235702182,-1.517457165,-0.322599665
7,1080,-3.155725943,-2.437406549,-3.673736695,-1.982822571
7,1140,-4.035885842,-2.907283872,-4.766393766,-2.137861531
7,1200,-4.714594426,-3.593395698,-5.558093791,-2.97564073
7,1260,-5.19361232,-4.080801356,-6.026788059,-3.493184282
7,1320,-5.837329758,-4.448361602,-6.974543332,-3.850295576
7,1380,-5.928525489,-4.785073427,-6.767097652,-4.227587544
8,0,-6.641952529,-5.009302599,-8.004749412,-4.42694511
8,60,-6.700197271,-5.16326735,-7.885100599,-4.603171095
8,120,-6.952539207,-5.277726439,-8.174708007,-4.700389018
8,180,-7.234907309,-5.36938934,-8.505339129,-4.760900637
8,240,-7.566926841,-5.431408904,-8.903213138,-4.77895479
8,300,-7.938074971,-5.449073452,-9.326273048,-4.740117088
8,360,-8.453053714,-5.363537177,-9.883708636,-4.588673368
8,420,-8.73694265,-5.317266631,-10.17670548,-4.444960667
8,480,-6.297830122,-5.112738181,-6.691391331,-4.434305203
8,540,-1.310502661,-3.674497405,0.826552486,-4.041931834
8,600,4.014523497,-0.642966299,8.427585586,-1.742138189
8,660,8.460004438,2.751421003,14.25329221,1.18290376
8,720,10.83400352,5.747659959,16.92108411,4.365056539
8,780,11.78654529,7.033374844,17.80344826,6.069883977
8,840,10.37685099,6.29388833,15.71159693,5.722144477
8,900,6.818294832,4.198040444,10.87795472,4.526082966
8,960,1.774738505,0.712956976,3.860966741,1.311508184
8,1020,-1.863698884,-1.367803725,-1.632512909,-0.453526599
8,1080,-3.286076809,-2.566112067,-3.804013986,-2.109772162
8,1140,-4.165430906,-3.032045858,-4.898194298,-2.259360835
8,1200,-4.842567768,-3.717566755,-5.68907723,-3.098678382
8,1260,-5.321324944,-4.202968647,-6.15952222,-3.614079294
8,1320,-5.96070357,-4.569445627,-7.099222893,-3.970775807
8,1380,-6.056008125,-4.903727367,-6.902652874,-4.344299635
9,0,-6.762446706,-5.127779156,-8.125846137,-4.544671104
9,60,-6.82359334,-5.280375465,-8.013165074,-4.718827468
9,120,-7.076222834,-5.393847566,-8.30373814,-4.814884064
9,180,-7.3589903,-5.48447365,-8.635356208,-4.874208871
9,240,-7.691367426,-5.545341412,-9.033845311,-4.890963427
9,300,-8.06373353,-5.561604247,-9.458713683,-4.85055588
9,360,-8.579098771,-5.475172476,-10.01694719,-4.698067095
9,420,-8.853384449,-5.430430202,-10.29733468,-4.555481331
9,480,-6.390052166,-5.220529237,-6.769835644,-4.541970918
9,540,-1.391838064,-3.782376566,0.773988239,-4.149095288
9,600,3.928973298,-0.757258719,8.377357564,-1.853810926
9,660,8.365411044,2.626779146,14.19836565,1.061873697
9,720,10.72737756,5.613528364,16.85442523,4.234348744
9,780,11.67576737,6.894391664,17.73167545,5.93208479
9,840,10.26897554,6.159909788,15.64163341,5.59135361
9,900,6.717379185,4.068969174,10.81210236,4.393897021
9,960,1.679787438,0.598772065,3.794836,1.199962562
9,1020,-1.977771572,-1.489966449,-1.734126708,-0.574713534
9,1080,-3.405434925,-2.685019335,-3.922026378,-2.227213391
9,1140,-4.284172581,-3.14736784,-5.018113136,-2.372072566
9,1200,-4.959809397,-3.832157,-5.808303044,-3.212529611
9,1260,-5.438184587,-4.315615123,-6.280191401,-3.725867321
9,1320,-6.073654367,-4.681015524,-7.212814154,-4.082116351
9,1380,-6.172421002,-5.012994921,-7.025650129,-4.452122949
10,0,-6.872649983,-5.236820513,-8.236143646,-4.653366715
10,60,-6.936259869,-5.388136667,-8.129491934,-4.825614543
10,120,-7.189072453,-5.500684744,-8.420855212,-4.92060522
10,180,-7.472127527,-5.590347788,-8.753288915,-4.978851127
10,240,-7.804762587,-5.650154749,-9.152268136,-4.99443548
10,300,-8.178169482,-5.6651353,-9.57869921,-4.952623897
10,360,-8.693572677,-5.578062789,-10.13737411,-4.799392559
10,420,-8.957093498,-5.535165984,-10.40341269,-4.658328409
10,480,-6.468706239,-5.319283774,-6.831773418,-4.641677916
10,540,-1.459394479,-3.8802961,0.738357398,-4.247391747
10,600,3.857221966,-0.860635699,8.343791968,-1.955501906
10,660,8.284656414,2.513795791,14.15975545,0.951690975
10,720,10.63455635,5.491604457,16.80372187,4.115214559
10,780,11.57888031,6.767824857,17.6758755,5.80621122
10,840,10.17491448,6.038139468,15.58757499,5.472197637
10,900,6.630002544,3.951877485,10.76191381,4.273395458
10,960,1.597896823,0.495864656,3.743863607,1.099226412
10,1020,-2.079880829,-1.60161079,-1.82196768,-0.68550848
10,1080,-3.513372495,-2.793607474,-4.027486394,-2.334632184
10,1140,-4.391696462,-3.25264528,-5.125889776,-2.475282359
10,1200,-5.065909171,-4.082735378,-5.915515833,-3.652878966
10,1260,-5.543780319,-4.437386776,-6.388533844,-3.871627824
10,1320,-6.175784961,-4.796705734,-7.315081654,-4.215606849
10,1380,-6.277351831,-5.112282073,-7.135816155,-4.550369208
11,0,-6.972188192,-5.338631036,-8.335447893,-4.758472463
11,60,-7.03781063,-5.486314852,-8.233853029,-4.923612278
11,120,-7.290711548,-5.597733029,-8.525842925,-5.017057166
11,180,-7.57395618,-5.686437245,-8.858938791,-5.074190815
11,240,-7.906769001,-5.745296485,-9.258308942,-5.088780348
