julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,1.093963475,0.851629548,-0.158374073,-0.672127608,,,,,,,
1,60,0.933615212,2.202111487,-0.2684693,2.354519591,,,,,,,
1,120,0.650398268,2.331838065,-0.584384607,2.796884805,,,,,,,
1,180,0.362865522,2.340753945,-0.923061043,2.930001209,,,,,,,
1,240,0.071161561,2.340180338,-1.265251579,2.993596888,,,,,,,
1,300,-0.233433596,2.431025001,-1.604304836,3.174536958,,,,,,,
1,360,-0.628173931,2.61357508,-2.0158823,3.430974686,,,,,,,
1,420,-0.648961666,2.676179935,-1.968429238,3.557004016,,,,,,,
1,480,2.031406226,2.832215129,2.03562432,3.528343611,,,,,,,
1,540,7.790412679,4.519288223,10.61854536,4.063993251,,,,,,,
1,600,13.96667557,7.838908177,19.41076771,6.442039669,,,,,,,
1,660,19.04300923,11.63744081,26.07040646,9.682278223,,,,,,,
1,720,21.61870068,14.97693212,28.92465922,13.14232514,,,,,,,
1,780,22.80440829,16.49889066,30.19687632,15.21354997,,,,,,,
1,840,21.22509595,15.73793007,27.88983934,14.96221495,,,,,,,
1,900,17.13123662,13.42744093,22.31451865,13.66523911,,,,,,,
1,960,11.24767193,9.696085101,14.08268489,10.49229807,,,,,,,
1,1020,6.726817428,7.09955866,7.297124145,8.151530552,,,,,,,
1,1080,4.915426159,5.838439332,4.437708913,6.532809421,,,,,,,
1,1140,3.869990271,5.173684478,3.10560641,6.034795006,,,,,,,
1,1200,3.087357878,4.353834077,2.184868292,5.000415487,,,,,,,
1,1260,2.493910537,3.980740531,1.539651009,4.808714084,,,,,,,
1,1320,1.873517784,3.403828735,0.722348192,4.048327491,,,,,,,
1,1380,1.587950988,3.192356435,0.541273886,3.986277049,,,,,,,
2,0,1.018586063,2.796772505,-0.318175932,3.451620477,,,,,,,
2,60,0.837462812,2.684040967,-0.440386955,3.378038701,,,,,,,
2,120,0.554877947,2.568238235,-0.760769184,3.288168739,,,,,,,
2,180,0.247776492,2.47580506,-1.108596578,3.232121485,,,,,,,
2,240,-0.09730805,2.417787728,-1.49868158,3.222674225,,,,,,,
2,300,-0.496945635,2.414768509,-1.941268388,3.282137654,,,,,,,
2,360,-1.000637456,2.520856791,-2.459178483,3.456906552,,,,,,,
2,420,-1.056132717,2.549609742,-2.395499011,3.598127145,,,,,,,
2,480,1.817709657,2.842762638,1.722186997,3.632938169,,,,,,,
2,540,7.626508576,4.456245451,10.39822917,4.046369201,,,,,,,
2,600,13.80559181,7.751486855,19.20875797,6.397959936,,,,,,,
2,660,18.87511671,11.50913564,25.87262544,9.575422376,,,,,,,
2,720,21.44527246,14.8362804,28.72995773,13.02965924,,,,,,,
2,780,22.62708661,16.33503419,30.00059126,15.05321347,,,,,,,
2,840,21.05458333,15.59304355,27.70257337,14.8386905,,,,,,,
2,900,16.9761119,13.27625803,22.14406264,13.50622522,,,,,,,
2,960,11.11138762,9.581499379,13.93145692,10.39218721,,,,,,,
2,1020,6.591380833,6.971790033,7.143197108,8.014959602,,,,,,,
2,1080,4.777917656,5.732458846,4.273791177,6.439914198,,,,,,,
2,1140,3.734447665,5.053855831,2.941783033,5.90554751,,,,,,,
2,1200,2.954503953,4.253840957,2.023626629,4.91152578,,,,,,,
2,1260,2.362548898,3.866415231,1.379048636,4.684777713,,,,,,,
2,1320,1.745912289,3.308064743,0.567998616,3.962382794,,,,,,,
2,1380,1.458486659,3.082066143,0.381379573,3.86674699,,,,,,,
3,0,0.894658688,2.703157681,-0.467185195,3.366004349,,,,,,,
3,60,0.710603769,2.584896887,-0.59525694,3.279570037,,,,,,,
3,120,0.42670025,2.469124749,-0.917656618,3.188724869,,,,,,,
3,180,0.117800168,2.377330144,-1.267969204,3.132977533,,,,,,,
3,240,-0.229676327,2.32016438,-1.660983901,3.124242066,,,,,,,
3,300,-0.632754062,2.317819522,-2.107355556,3.184056417,,,,,,,
3,360,-1.141454563,2.42375122,-2.630441532,3.358343433,,,,,,,
3,420,-1.187216881,2.451452132,-2.55212122,3.498482723,,,,,,,
3,480,1.703348586,2.7471795,1.588948201,3.534809466,,,,,,,
3,540,7.514000259,4.355584324,10.27464554,3.946916728,,,,,,,
3,600,13.68248202,7.636364284,19.07955946,6.287328032,,,,,,,
3,660,18.73875555,11.37622248,25.7358279,9.449127933,,,,,,,
3,720,21.29756378,14.68728766,28.58588226,12.88627415,,,,,,,
3,780,22.4738308,16.17925462,29.85085585,14.90104473,,,,,,,
3,840,20.90728277,15.44190322,27.55963382,14.6897426,,,,,,,
3,900,16.84336811,13.13678098,22.01603506,13.36449697,,,,,,,
3,960,10.99650587,9.461019123,13.82063622,10.26923439,,,,,,,
3,1020,6.475904602,6.856001,7.027337772,7.898184838,,,,,,,
3,1080,4.659346749,5.620896283,4.14545106,6.326986708,,,,,,,
3,1140,3.61736936,4.946135473,2.812301589,5.796423565,,,,,,,
3,1200,2.839910974,4.149297315,1.896073617,4.805670978,,,,,,,
3,1260,2.249423563,3.764217391,1.251851372,4.580882527,,,,,,,
3,1320,1.636287732,3.208610215,0.446230015,3.861987571,,,,,,,
3,1380,1.347345883,2.983535034,0.254528787,3.766233333,,,,,,,
4,0,0.788654388,2.607306866,-0.584330566,3.269591343,,,,,,,
4,60,0.602422399,2.489456992,-0.717324959,3.183007321,,,,,,,
4,120,0.31797192,2.374532527,-1.040918948,3.09294397,,,,,,,
4,180,0.008270411,2.283611237,-1.392630162,3.038023319,,,,,,,
4,240,-0.340284607,2.22731992,-1.787149168,3.030097668,,,,,,,
