julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,3.645139927,3.044197538,3.480255523,2.123949488,,,,,,,
1,60,3.451474144,3.640780045,3.09129649,3.507852728,,,,,,,
1,120,3.33613334,3.691811723,2.950486228,3.711392035,,,,,,,
1,180,3.22343702,3.687885539,2.807482191,3.769970587,,,,,,,
1,240,3.128613671,3.670433403,2.699033339,3.781355149,,,,,,,
1,300,3.010397113,3.679952481,2.549067893,3.829114703,,,,,,,
1,360,2.849660648,3.724750743,2.379040069,3.906387397,,,,,,,
1,420,2.578003281,3.79598907,2.126113264,3.973840711,,,,,,,
1,480,2.846545262,3.684339286,2.326779626,3.901170918,,,,,,,
1,540,4.404057017,4.346651319,4.443363449,4.324279147,,,,,,,
1,600,7.027078592,5.577655007,8.35947131,5.136670406,,,,,,,
1,660,9.062781008,6.944143182,10.96794022,5.993031088,,,,,,,
1,720,10.50944741,8.542086222,12.92296211,7.896363989,,,,,,,
1,780,10.91007711,9.059391982,13.18828864,8.459797277,,,,,,,
1,840,10.20306543,8.752871664,12.11081501,8.439737768,,,,,,,
1,900,8.454440126,7.678454233,9.667555138,7.721904123,,,,,,,
1,960,6.241742887,6.177706603,6.691959668,6.532981745,,,,,,,
1,1020,5.327251787,5.535506004,5.271817919,5.783556881,,,,,,,
1,1080,4.845532928,5.142540345,4.642273302,5.364373213,,,,,,,
1,1140,4.491467438,4.844124313,4.231435281,5.07939285,,,,,,,
1,1200,4.242841605,4.570030562,3.997992252,4.775691315,,,,,,,
1,1260,3.908213742,4.388732239,3.501283072,4.629763266,,,,,,,
1,1320,3.863680786,4.192130915,3.635632514,4.397327294,,,,,,,
1,1380,3.487664559,4.081491379,2.964295186,4.323325025,,,,,,,
2,0,3.59962716,3.944262949,3.377534792,4.155365759,,,,,,,
2,60,3.366296449,3.886892618,2.961676839,4.107097793,,,,,,,
2,120,3.246023343,3.832039099,2.808150237,4.061525875,,,,,,,
2,180,3.125240658,3.78431532,2.661938631,4.027209846,,,,,,,
2,240,3.004556325,3.746262984,2.526147132,4.006831595,,,,,,,
2,300,2.859879983,3.722900159,2.357620382,4.005956961,,,,,,,
2,360,2.623783396,3.751807598,2.090259975,4.059816429,,,,,,,
2,420,2.322303741,3.870411333,1.830461544,4.18538512,,,,,,,
2,480,2.878715557,3.758145234,2.461888673,4.116172052,,,,,,,
2,540,4.205682471,4.408192808,4.127081403,4.547522399,,,,,,,
2,600,7.005591474,5.58603146,8.433278253,5.274468379,,,,,,,
2,660,8.806254194,6.848092384,10.51501336,5.913548403,,,,,,,
2,720,10.22940827,8.477378976,12.39441447,7.914799691,,,,,,,
2,780,10.71927927,8.9422011,12.89334799,8.349687862,,,,,,,
2,840,10.05357024,8.651137883,11.91617343,8.363496129,,,,,,,
2,900,8.329484161,7.587309521,9.520272101,7.658096809,,,,,,,
2,960,6.130222315,6.096172369,6.560528757,6.475937146,,,,,,,
2,1020,5.213364952,5.365248078,5.137400664,5.510875275,,,,,,,
2,1080,4.732869776,5.156623334,4.507436406,5.538384427,,,,,,,
2,1140,4.380459115,4.641727383,4.097972122,4.72660662,,,,,,,
2,1200,4.134568344,4.626520155,3.869061633,5.039157503,,,,,,,
2,1260,3.798049385,4.170392463,3.366157521,4.241159453,,,,,,,
2,1320,3.759465282,4.260621262,3.513419784,4.676372524,,,,,,,
2,1380,3.377385881,3.869964235,2.826946384,3.954968337,,,,,,,
3,0,3.498240516,3.99782804,3.260168141,4.388416262,,,,,,,
3,60,3.260434674,3.830092748,2.834343845,4.088435513,,,,,,,
3,120,3.139117498,3.764766771,2.679042763,4.017896716,,,,,,,
3,180,3.017116191,3.716499568,2.531032611,3.980487634,,,,,,,
3,240,2.895013037,3.682897803,2.393486161,3.966983254,,,,,,,
3,300,2.747905634,3.66255651,2.221870594,3.96933806,,,,,,,
3,360,2.505763179,3.696355782,1.947624624,4.02719405,,,,,,,
3,420,2.198001429,3.82927781,1.681439893,4.170024671,,,,,,,
3,480,2.77277972,3.713835113,2.334649643,4.106684423,,,,,,,
3,540,4.107174542,4.362458553,4.014205438,4.544654533,,,,,,,
3,600,6.907471301,5.525253447,8.332022031,5.253967476,,,,,,,
3,660,8.693394383,6.757796388,10.39392175,5.842186755,,,,,,,
3,720,10.11142927,8.37956783,12.27331628,7.842204607,,,,,,,
3,780,10.5983963,8.832699014,12.77035301,8.252669495,,,,,,,
3,840,9.936555383,8.545223281,11.79725318,8.27028061,,,,,,,
3,900,8.221815688,7.489391141,9.410181458,7.571223286,,,,,,,
3,960,6.030914766,6.00803915,6.453753977,6.396885039,,,,,,,
3,1020,5.110218344,5.276826846,5.024620448,5.434576184,,,,,,,
3,1080,4.630912325,5.068815624,4.39404906,5.460121015,,,,,,,
