julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,19.11307662,18.64858686,18.96021349,17.91105729
1,60,19.09839554,19.62333264,18.98605714,20.13509745
1,120,19.00091595,19.82169021,18.87389182,20.60721623
1,180,18.90693537,19.94697219,18.75682682,20.86268432
1,240,18.81995665,20.08312562,18.64975145,21.07891902
1,300,18.72810878,20.39589614,18.55107235,21.46336058
1,360,18.66160709,20.71994444,18.48466801,21.87816988
1,420,19.33443106,20.51264692,19.6239989,21.85693142
1,480,22.31392878,20.97144405,24.79324222,22.03213126
1,540,26.3610036,21.80905624,32.09508534,22.14946616
1,600,29.288233,22.83571008,36.99110217,22.18900175
1,660,31.66398428,24.67703592,40.90869779,24.20759276
1,720,32.42509514,25.63999812,42.12804249,24.77653559
1,780,32.76294093,26.46015599,42.33176799,26.21367622
1,840,32.05947672,25.94364867,41.0546437,25.55898055
1,900,30.12073098,25.12913901,37.82853205,25.30191527
1,960,27.12010608,23.74846125,32.73949194,24.3616507
1,1020,23.61312174,22.14848319,26.66525497,23.06311507
1,1080,21.55927629,21.3152997,22.79698026,22.20330466
1,1140,20.69300977,20.87663269,21.25333734,21.69522828
1,1200,20.20913047,20.56374672,20.53072276,21.37431618
1,1260,19.89213496,20.30663835,20.12099438,21.09523988
1,1320,19.54324438,20.12218284,19.57204877,20.91572617
1,1380,19.44084428,19.97194886,19.54315935,20.75961009
2,0,19.12255672,19.86049802,18.98162644,20.64843538
2,60,19.07963347,19.82140227,18.98788655,20.61164314
2,120,18.97862712,19.81516253,18.86692596,20.63376399
2,180,18.87520445,19.8405802,18.7458775,20.70101557
2,240,18.76556859,19.91185326,18.61955674,20.82480657
2,300,18.63680264,20.12865694,18.48086195,21.08533589
2,360,18.53205038,20.35299885,18.37885082,21.38126669
2,420,19.2737927,20.22537337,19.57250984,21.37562954
2,480,22.27213237,20.73192285,24.78167799,21.61472633
2,540,26.3190767,21.62688397,32.08720699,21.83840743
2,600,29.24928907,22.69079526,36.99537405,21.95553594
2,660,31.62057248,24.51305752,40.90823704,23.92550857
2,720,32.37512214,25.5082718,42.11896128,24.56596916
2,780,32.71065419,26.31807614,42.31796166,25.97730086
2,840,32.0061138,25.81953194,41.03677679,25.36854966
