julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,1.806097547,0.909082987,1.539361839,-0.547054873,,,,,,,
1,60,1.70796968,1.749621648,1.320359969,1.414931156,,,,,,,
1,120,1.608703642,1.82291313,1.207843673,1.681455709,,,,,,,
1,180,1.504744365,1.821260014,1.076225515,1.755586187,,,,,,,
1,240,1.420023277,1.788920916,0.981874643,1.747431467,,,,,,,
1,300,1.310343984,1.773343238,0.837977316,1.761819149,,,,,,,
1,360,1.207186693,1.787817701,0.717772844,1.822502737,,,,,,,
1,420,1.058832229,1.777742854,0.544523006,1.822873148,,,,,,,
1,480,1.08142365,1.728481837,0.623794933,1.753441474,,,,,,,
1,540,1.899167327,1.91178811,1.794954754,1.820722761,,,,,,,
1,600,3.382478705,2.947763819,3.527102523,2.554233863,,,,,,,
1,660,5.721175507,4.389099377,6.902346814,3.713096566,,,,,,,
1,720,6.930220521,5.700893813,8.14776066,4.896118564,,,,,,,
1,780,7.405021377,6.468099367,8.572743429,6.094529112,,,,,,,
1,840,6.754745418,5.990300096,7.669378873,5.666656108,,,,,,,
1,900,5.196399054,4.900120256,5.71036194,4.941808324,,,,,,,
1,960,3.866393055,3.931111805,3.939306722,4.105476614,,,,,,,
1,1020,3.287069853,3.441276022,3.070857731,3.462608519,,,,,,,
1,1080,2.905543807,3.248206098,2.611421308,3.4723832,,,,,,,
1,1140,2.606331887,2.817285918,2.279158843,2.803148659,,,,,,,
1,1200,2.394906266,2.788248481,2.098235933,3.063648547,,,,,,,
1,1260,2.087812392,2.391116241,1.630852288,2.366037905,,,,,,,
1,1320,2.066073275,2.45871648,1.809865795,2.749240818,,,,,,,
1,1380,1.711792885,2.106286855,1.159828002,2.090764349,,,,,,,
2,0,1.801217968,2.222412104,1.528012152,2.507691329,,,,,,,
2,60,1.600719835,2.056259009,1.171755676,2.205991856,,,,,,,
2,120,1.491304299,1.987384793,1.03341675,2.130074766,,,,,,,
2,180,1.380481125,1.930631808,0.89903627,2.079566833,,,,,,,
2,240,1.270633937,1.883855016,0.775152239,2.047250554,,,,,,,
2,300,1.139541514,1.843252233,0.619207088,2.022546779,,,,,,,
2,360,0.997521406,1.810300581,0.460050172,2.00515239,,,,,,,
2,420,0.83288766,1.803168916,0.293879982,2.01961601,,,,,,,
2,480,0.870358363,1.791101215,0.431716249,2.041735473,,,,,,,
2,540,1.778853233,1.991401574,1.67128742,2.105609572,,,,,,,
2,600,3.225875035,2.971293387,3.328119157,2.758022681,,,,,,,
2,660,5.575396119,4.311490801,6.738136366,3.710501938,,,,,,,
2,720,6.77795087,5.389486277,7.977259834,4.303100066,,,,,,,
2,780,7.249360352,6.215819979,8.399120636,5.664162556,,,,,,,
2,840,6.630823788,5.909341136,7.573256924,5.682279212,,,,,,,
2,900,5.231743136,4.808308124,6.01268238,4.913816475,,,,,,,
2,960,3.759763195,3.828059961,3.872516615,4.047947009,,,,,,,
2,1020,3.159226328,3.396935328,2.945820826,3.549956246,,,,,,,
2,1080,2.767363464,3.073445331,2.457411931,3.22677923,,,,,,,
2,1140,2.465355319,2.814229028,2.11606499,2.982986191,,,,,,,
2,1200,2.218199186,2.575924153,1.845855508,2.724201788,,,,,,,
2,1260,2.024910238,2.415025412,1.654232098,2.600215765,,,,,,,
2,1320,1.811723464,2.2327032,1.371865482,2.379426357,,,,,,,
2,1380,1.719043342,2.139523209,1.342337923,2.334976865,,,,,,,
3,0,1.511512283,1.999095375,1.01440498,2.148929287,,,,,,,
3,60,1.450871989,1.949957199,0.984516252,2.118011843,,,,,,,
3,120,1.351543893,1.895080556,0.869688915,2.071633113,,,,,,,
3,180,1.244986806,1.844420215,0.745235497,2.031869485,,,,,,,
3,240,1.126669108,1.799630437,0.604452459,2.000787606,,,,,,,
3,300,0.991869701,1.764008986,0.442702148,1.982736228,,,,,,,
3,360,0.839209867,1.742730234,0.265703532,1.983396115,,,,,,,
3,420,0.659741428,1.747636732,0.077468648,2.012799462,,,,,,,
3,480,0.718579826,1.735358983,0.252439233,2.033383729,,,,,,,
3,540,1.66375083,1.918257969,1.555263732,2.075761898,,,,,,,
3,600,3.164509442,2.893132386,3.338084114,2.730005038,,,,,,,
3,660,5.406880484,4.23564113,6.513633919,3.706573339,,,,,,,
3,720,6.707496225,5.356876122,8.015844394,4.44044144,,,,,,,
3,780,7.094868277,6.308858969,8.22086846,6.140120518,,,,,,,
3,840,6.454134995,5.827470431,7.331475925,5.688380874,,,,,,,
3,900,4.916518196,4.69670245,5.398653677,4.827987444,,,,,,,
3,960,3.591100425,3.708144767,3.641316548,3.942075734,,,,,,,
3,1020,3.010115037,3.252560754,2.761958951,3.378362644,,,,,,,
3,1080,2.63028554,2.998074045,2.301644552,3.226458739,,,,,,,
3,1140,2.333656375,2.648072649,1.971706117,2.753288365,,,,,,,
3,1200,2.124829807,2.527788773,1.793961283,2.783729716,,,,,,,
3,1260,1.818533015,2.238235795,1.325736128,2.343827507,,,,,,,
3,1320,1.80036978,2.197124928,1.511615554,2.461530062,,,,,,,
3,1380,1.444050591,1.960878391,0.854872881,2.075383036,,,,,,,
4,0,1.53883659,1.96611449,1.234911853,2.229452283,,,,,,,
4,60,1.335519576,1.853854812,0.872241269,2.049820073,,,,,,,
4,120,1.225031008,1.794255552,0.732061019,1.991154807,,,,,,,
4,180,1.11273863,1.744018229,0.595404697,1.95070772,,,,,,,
4,240,1.000929515,1.702948809,0.468784307,1.925671322,,,,,,,
4,300,0.866803213,1.670848896,0.308737963,1.912579763,,,,,,,
4,360,0.720403868,1.651696204,0.144191314,1.914684754,,,,,,,
4,420,0.549664787,1.662838445,-0.02872906,1.951939427,,,,,,,
4,480,0.611341945,1.657919164,0.149094025,1.985467737,,,,,,,
4,540,1.515902159,1.838022707,1.368946231,2.02828263,,,,,,,
4,600,2.939199475,2.807180668,2.975958638,2.679965303,,,,,,,
4,660,5.345634847,4.138024292,6.540108764,3.644514595,,,,,,,
4,720,6.515405057,5.247760914,7.724500902,4.367603422,,,,,,,
4,780,6.976965253,6.176226074,8.1313082,6.010839812,,,,,,,
4,840,6.335277815,5.702694005,7.233509153,5.574330254,,,,,,,
4,900,4.798906047,4.579935097,5.290487688,4.721823253,,,,,,,
4,960,3.470000747,3.588149492,3.526830165,3.830528432,,,,,,,
4,1020,2.884935726,3.140379638,2.633764268,3.283429242,,,,,,,
4,1080,2.504907236,2.878312465,2.170383387,3.109627095,,,,,,,
4,1140,2.209344402,2.5432278,1.841021507,2.671262866,,,,,,,
4,1200,2.001802245,2.407220527,1.664754272,2.660880059,,,,,,,
4,1260,1.696053459,2.139261855,1.196374576,2.271821737,,,,,,,
4,1320,1.679084694,2.076712342,1.384095337,2.336392963,,,,,,,
4,1380,1.322937912,1.865548628,0.726679874,2.008467099,,,,,,,
5,0,1.418790513,1.847485263,1.108634987,2.106771484,,,,,,,
5,60,1.215294495,1.747298847,0.745220009,1.95417801,,,,,,,
5,120,1.104761956,1.690156085,0.604760403,1.899922582,,,,,,,
5,180,0.992328855,1.64182187,0.46771706,1.862387327,,,,,,,
5,240,0.880226394,1.602545276,0.340529666,1.839745413,,,,,,,
5,300,0.745583781,1.57294507,0.179666676,1.830115317,,,,,,,
5,360,0.598280903,1.557611328,0.013888403,1.837595638,,,,,,,
5,420,0.426479598,1.573647716,-0.160408763,1.881074722,,,,,,,
5,480,0.504276723,1.56997345,0.043901534,1.917263798,,,,,,,
5,540,1.399769657,1.747860611,1.243948649,1.957054909,,,,,,,
5,600,2.809766822,2.713407999,2.823643598,2.607476428,,,,,,,
5,660,5.246196924,4.038196267,6.468583413,3.570775621,,,,,,,
5,720,6.397417956,5.149241175,7.620948425,4.314621683,,,,,,,
5,780,6.853757667,6.040949663,8.019076048,5.866008565,,,,,,,
5,840,6.214205138,5.579453221,7.121498994,5.456143531,,,,,,,
5,900,4.683804519,4.465490289,5.181441293,4.614317097,,,,,,,
5,960,3.354008221,3.466495118,3.419592515,3.708820578,,,,,,,
5,1020,2.76526968,3.034810591,2.514030817,3.199744084,,,,,,,
5,1080,2.385055224,2.752589168,2.0477283,2.972464631,,,,,,,
5,1140,2.090466025,2.449372391,1.718785,2.611497873,,,,,,,
5,1200,1.884174884,2.276405276,1.543953653,2.507941686,,,,,,,
5,1260,1.578550558,2.054267853,1.074420566,2.229064154,,,,,,,
5,1320,1.56357864,1.943691635,1.265901423,2.176495907,,,,,,,
5,1380,1.206195354,1.785125505,0.604472191,1.972415382,,,,,,,
6,0,1.305133395,1.715853812,0.993025793,1.949559785,,,,,,,
6,60,1.100475615,1.640009259,0.626488803,1.852836738,,,,,,,
6,120,0.989935631,1.586344274,0.485722193,1.805506884,,,,,,,
6,180,0.877476726,1.539955224,0.3484144,1.771178236,,,,,,,
6,240,0.765335606,1.501896257,0.221039032,1.749952404,,,,,,,
6,300,0.630403321,1.474288104,0.059620132,1.743052579,,,,,,,
6,360,0.48260028,1.462582818,-0.106869788,1.75591003,,,,,,,
6,420,0.310568873,1.482522341,-0.281493902,1.80438005,,,,,,,
6,480,0.407388344,1.478384282,-0.045720578,1.840549327,,,,,,,
6,540,1.28972901,1.655652752,1.127622766,1.877909967,,,,,,,
6,600,2.684535407,2.61848664,2.675409716,2.527155387,,,,,,,
6,660,4.902160487,3.938217502,5.803205362,3.489906109,,,,,,,
6,720,6.226894911,5.050362292,7.36934139,4.252015436,,,,,,,
6,780,6.714226332,5.912171775,7.854477492,5.729363878,,,,,,,
6,840,6.092008675,5.460712514,6.997837745,5.341138532,,,,,,,
6,900,4.573740909,4.354788971,5.077651851,4.508731469,,,,,,,
6,960,3.244704489,3.349048495,3.32325964,3.591615757,,,,,,,
6,1020,2.651441682,2.930073533,2.40318865,3.112199691,,,,,,,
6,1080,2.270402348,2.632239799,1.932471568,2.843091565,,,,,,,
6,1140,1.976477152,2.354434564,1.603269237,2.54358879,,,,,,,
6,1200,1.772737731,2.152209631,1.433137889,2.365985458,,,,,,,
6,1260,1.46324362,1.966876271,0.952769398,2.175447591,,,,,,,
6,1320,1.456429543,1.72924163,1.16286757,1.816560402,,,,,,,
6,1380,1.089531796,1.74361455,0.477772908,2.023635376,,,,,,,
7,0,1.200666327,1.539749638,0.894286174,1.684155285,,,,,,,
7,60,0.990666185,1.529889789,0.51483564,1.740708022,,,,,,,
7,120,0.8798609,1.483756541,0.373121892,1.709674847,,,,,,,
7,180,0.767307814,1.440225724,0.235339992,1.680674597,,,,,,,
7,240,0.655452561,1.40244522,0.1083813,1.659019668,,,,,,,
7,300,0.520225467,1.37644197,-0.053710548,1.654263925,,,,,,,
7,360,0.372284017,1.369536171,-0.220351877,1.674965711,,,,,,,
