julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-2.280204638,-2.663740534,-2.956165578,-3.790793253,,,,,,,
1,60,-2.656082075,-1.67392147,-3.622876018,-1.539542963,,,,,,,
1,120,-2.929096947,-1.649037432,-3.948037385,-1.309304508,,,,,,,
1,180,-3.206764474,-1.682654293,-4.296469436,-1.255174807,,,,,,,
1,240,-3.438839552,-1.720619485,-4.553469697,-1.25268241,,,,,,,
1,300,-3.761315111,-1.693780703,-4.96051873,-1.168291226,,,,,,,
1,360,-4.123729318,-1.546121555,-5.341378584,-0.941623029,,,,,,,
1,420,-4.419250826,-1.456591664,-5.714249947,-0.788913125,,,,,,,
1,480,-2.130413128,-1.396835352,-2.270028556,-0.882763403,,,,,,,
1,540,2.883616036,0.212378588,5.190225782,-0.271967016,,,,,,,
1,600,8.324182172,3.480457079,12.80845908,2.308729759,,,,,,,
1,660,13.03729422,7.118070036,18.96709403,5.514930781,,,,,,,
1,720,15.6320877,10.29551275,21.96787872,8.896035853,,,,,,,
1,780,16.40532749,11.69996216,22.32453882,10.79883238,,,,,,,
1,840,14.85529515,10.76873334,19.98748967,10.06581985,,,,,,,
1,900,11.19846109,8.446727462,15.1636718,8.543652609,,,,,,,
1,960,5.861826302,5.010382668,7.767636659,5.738557639,,,,,,,
1,1020,2.241716583,2.671309892,2.435398128,3.449178732,,,,,,,
1,1080,0.86075464,1.62250838,0.440146946,2.219595495,,,,,,,
1,1140,-0.051418189,0.8557522,-0.672774474,1.424093534,,,,,,,
1,1200,-0.768412017,0.263637413,-1.510028802,0.849390662,,,,,,,
1,1260,-1.347378895,-0.294155041,-2.172437691,0.207910006,,,,,,,
1,1320,-1.731415775,-0.616706309,-2.508816093,-0.019571083,,,,,,,
1,1380,-2.370374761,-1.051940638,-3.498903553,-0.591557829,,,,,,,
2,0,-2.352678486,-1.191906756,-3.113878793,-0.587877391,,,,,,,
2,60,-2.79574857,-1.40746949,-3.8299727,-0.885215445,,,,,,,
2,120,-3.075601522,-1.539132884,-4.173600617,-1.006359378,,,,,,,
2,180,-3.369276791,-1.6457662,-4.524300902,-1.085218491,,,,,,,
2,240,-3.6694377,-1.721456907,-4.859974959,-1.117990098,,,,,,,
2,300,-4.043474159,-1.75458072,-5.29365033,-1.095734474,,,,,,,
2,360,-4.513267534,-1.687361422,-5.786297944,-0.962830396,,,,,,,
2,420,-4.887181228,-1.649744308,-6.21871993,-0.833447652,,,,,,,
2,480,-2.405398188,-1.441778284,-2.64997778,-0.827282761,,,,,,,
2,540,2.671440599,0.09513326,4.921383477,-0.347247889,,,,,,,
2,600,8.127553374,3.363755502,12.57180074,2.244871479,,,,,,,
2,660,12.83819052,6.959307586,18.72916085,5.368609908,,,,,,,
2,720,15.45419904,10.14716923,21.78399136,8.785096077,,,,,,,
2,780,16.2367019,11.5405366,22.16648277,10.66382251,,,,,,,
2,840,14.6735839,10.56473616,19.794496,9.819157374,,,,,,,
2,900,10.8903695,8.277845739,14.65913727,8.374297593,,,,,,,
2,960,5.612605279,4.851694968,7.397695467,5.584444872,,,,,,,
2,1020,2.021775354,2.512064143,2.143245228,3.300209501,,,,,,,
2,1080,0.661875607,1.464654113,0.195887358,2.071090476,,,,,,,
2,1140,-0.23984515,0.699139517,-0.894207231,1.276107427,,,,,,,
2,1200,-0.95382363,0.10824099,-1.725734009,0.702205292,,,,,,,
2,1260,-1.532484306,-0.448670918,-2.388330862,0.061052195,,,,,,,
