,species,scenario,julian,hour,Tpref_mean,Rabs_sun,Rabs_shade,Te_sun,Te_shade,Tb_sun,Tb_shade,activity_status_5C,activity_status_25C,activity_status_skewed_5C,activity_status_skewed_10C,ro,rcm,growth_k,growth_linf
0,Sceloporus_undulatus,undulatus_utah,1.0,0.0,35,216.11344831050508,211.4513262699278,6.875089382733593,5.870251029005962,6.232055116301724,5.571811265439803,[0.0],[0.0],[0.0],[0.0],18.9,0.21,,
1,Sceloporus_undulatus,undulatus_utah,1.0,60.0,35,391.6080671360655,220.35800664611008,16.593872392652596,17.713622836728575,13.04043988295233,13.549767519327451,[0.0],[0.0],[0.0],[0.0],18.9,0.21,,
2,Microlophus occipitalis,occipitalis_ecuador,1.0,0.0,35,335.94268598506414,342.301968643778,36.25474847049098,37.27222592190999,27.431696651884753,28.161945547085843,[0.0],[0.0],[0.0],[1.0],,,0.005196,71.006106
3,Microlophus occipitalis,occipitalis_ecuador,1.0,60.0,35,631.4249456510402,344.33077188319766,50.818870914766364,52.25906138646168,44.21679409411944,45.45657177658673,[0.0],[0.0],[0.0],[0.0],,,0.005196,71.006106
4,Sceloporus_undulatus,undulatus_AZ,1.0,0.0,35,237.47629761993932,234.269325202127,12.995435652331823,12.341240217302182,10.440957273019682,9.995772099255861,[0.0],[0.0],[0.0],[0.0],24.9,,0.0052450000000000005,66.808
5,Sceloporus_undulatus,undulatus_AZ,1.0,60.0,35,433.1629082387095,244.32764945424222,23.55450025909928,24.987198667775306,19.364827114228042,20.19755658827712,[0.0],[0.0],[0.0],[0.0],24.9,,0.0052450000000000005,66.808
6,Sceloporus_clarki,clarki_AZ,1.0,0.0,35,237.47629761993932,234.269325202127,13.564953630941368,12.904646627626137,10.437408383728881,10.018216524628704,[0.0],[0.0],[0.0],[0.0],23.875,0.322,0.002066,121.56093999999999
7,Sceloporus_clarki,clarki_AZ,1.0,60.0,35,433.1629082387095,244.32764945424222,24.593928353790723,26.03723261043729,19.424588430047397,20.187790829082946,[0.0],[0.0],[0.0],[0.0],23.875,0.322,0.002066,121.56093999999999
8,Urosaurus ornatus,ornatus_AZ,1.0,0.0,35,255.09307874401244,252.3391432086447,16.572451969675022,16.041688676078998,13.996122726918477,13.583521167573453,[0.0],[0.0],[0.0],[0.0],,0.307,0.004581,54.75
9,Urosaurus ornatus,ornatus_AZ,1.0,60.0,35,455.319729481183,262.8828631610345,26.131465208555895,27.840195141088675,23.429821875903876,24.666288162804204,[0.0],[0.0],[0.0],[0.0],,0.307,0.004581,54.75
10,Sceloporus graciosus,graciosus_kolob,1.0,0.0,35,209.58669982350463,205.59468283088952,3.987319659341389,3.125733266405705,4.1915276028799555,3.5036809167581526,[0.0],[0.0],[0.0],[0.0],5.5,0.23,0.002303,58.8
11,Sceloporus graciosus,graciosus_kolob,1.0,60.0,35,391.3276147857443,214.3036363482653,13.4346122697278,14.44104227261808,11.042725554526774,11.610717736019838,[0.0],[0.0],[0.0],[0.0],5.5,0.23,0.002303,58.8
12,Sceloporus graciosus,graciosus_mtdiablo,1.0,0.0,35,250.01027914506147,250.35308937387856,16.25094993572292,16.319287805307432,12.589107918852058,12.63520389031973,[0.0],[0.0],[0.0],[0.0],8.2,0.23,0.0027760000000000003,70.68
13,Sceloporus graciosus,graciosus_mtdiablo,1.0,60.0,35,421.4708052842142,255.01950867179409,25.445965852173064,26.555927606392252,21.26144962428628,22.02515542271089,[0.0],[0.0],[0.0],[0.0],8.2,0.23,0.0027760000000000003,70.68
14,Cophosaurus texanus scitulus,scitulus_NM,1.0,0.0,35,229.94821514725564,226.33605527839305,11.547676448434002,10.787655379539762,9.035766323295874,8.567315040005557,[0.0],[0.0],[0.0],[0.0],,,0.01178,70.5545
15,Cophosaurus texanus scitulus,scitulus_NM,1.0,60.0,35,426.56993103306405,235.81846450705157,22.7613181924653,24.215951552870344,17.495732303363965,18.212605356576162,[0.0],[0.0],[0.0],[0.0],,,0.01178,70.5545
16,Sceloporus mucronatus,mucronatus_usa,1.0,0.0,35,229.94821514725564,226.33605527839305,11.75359767728077,10.991022735812814,9.052032005417455,8.594501335541718,[0.0],[0.0],[0.0],[0.0],,,0.000839,98.96
